sca,place,number,name,time,complete
2,30,10,63 Ossington,13:05:36,TRUE
2,31,54,Mike Hawk,13:06:26,TRUE
2,32,107,RS,13:06:34,TRUE
2,33,16,TAKES2TOTANDEM,13:07:22,TRUE
2,34,9,Cam,13:07:51,TRUE
2,35,27,Beer Babes on Bikes,13:09:04,TRUE
2,36,77,Grosfelds,13:11:23,TRUE
2,37,21,Sam's Cycles,13:11:38,TRUE
2,38,13,RADimmers,13:13:08,TRUE
2,39,35,Tom & Sarah,13:15:40,TRUE
2,40,32,Orange Crush,13:15:56,TRUE
2,41,25,@DaveLikesBikes,13:18:25,TRUE
2,42,89,Biking Lawyer,13:18:44,TRUE
2,43,56,contracycle,13:18:46,TRUE
2,44,61,UncleMarcus,13:19:13,TRUE
2,45,84,Sm0knGT,13:22:00,TRUE
2,46,112,The Two Tone Tonys,13:23:10,TRUE
2,47,118,,13:23:33,TRUE
2,48,55,CNC,13:27:51,TRUE
2,49,49,Rock Hardwell the 3rd,13:27:58,TRUE
2,50,5,Lion Leaves,13:32:32,TRUE
2,51,106,Jfiveisdead,13:42:24,TRUE
2,52,57,Surprise!Hamilton,13:42:30,TRUE
2,53,34,Sharpieguy,13:52:03,TRUE
2,54,62,TBBB,13:53:19,TRUE
2,55,129,,13:54:53,TRUE
2,56,88,Smashin Good Bike Times,13:56:17,TRUE
2,57,6,Vaughn,13:56:33,TRUE
2,58,2,Westbound,14:06:18,TRUE
2,59,90,TeamShohei,14:06:24,TRUE
2,60,95,Andrew!,14:14:28,TRUE
2,61,91,Maybr mark,14:14:54,TRUE
2,62,117,Juniper’s Big Day Out,14:18:23,TRUE
2,63,80,Rabout,14:37:08,TRUE
2,64,122,,14:46:37,TRUE
2,65,105,Bre and Kyle,15:01:30,TRUE
2,66,51,PNP,15:16:31,TRUE
2,67,14,Mich,15:24:12,TRUE
2,68,97,slow and unsteady,16:35:33,TRUE
2,0,33,Adamisonfire,0,FALSE
2,0,40,Auj,0,FALSE
2,0,124,Ben c,0,FALSE
2,0,94,Corona shirts,0,FALSE
2,0,37,Edspeed,0,FALSE
2,0,4,Fixed M8,0,FALSE
2,0,104,Ory,0,FALSE
2,0,68,RileyS,0,FALSE
2,0,138,Sharpieguy,0,FALSE
2,0,73,Team Sminch,0,FALSE
2,0,53,Team Valemount,0,FALSE
2,0,31,The Biking Lawyer,0,FALSE
2,0,19,The Biking Vet,0,FALSE
2,0,93,The Biking Vet,0,FALSE
2,0,29,The Two Tone Tonys,0,FALSE
2,0,42,thena smokes,0,FALSE
2,0,64,Vikram,0,FALSE
2,0,36,Worst Pace Scenario,0,FALSE
1,1,14,,12:38:35,TRUE
1,2,22,,12:42:20,TRUE
1,3,19,,12:49:05,TRUE
1,4,31,,12:50:45,TRUE
1,5,27,,12:52:47,TRUE
1,6,4,,12:55:08,TRUE
1,7,6,,12:57:35,TRUE
1,8,10,,12:57:47,TRUE
1,9,17,,12:58:20,TRUE
1,10,8,,12:59:29,TRUE
1,11,23,,13:03:42,TRUE
1,12,29,,13:03:47,TRUE
1,13,26,,13:04:02,TRUE
1,14,21,,13:05:07,TRUE
1,15,5,,13:05:25,TRUE
1,16,68,,13:13:11,TRUE
1,17,71,,13:13:18,TRUE
1,18,24,,13:14:47,TRUE
1,19,11,,13:15:09,TRUE
1,20,62,,13:16:28,TRUE
1,21,35,,13:19:06,TRUE
1,22,40,,13:20:18,TRUE
1,23,58,,13:22:12,TRUE
1,24,72,,13:22:54,TRUE
1,25,41,,13:23:26,TRUE
1,26,28,,13:28:01,TRUE
1,27,42,,13:33:28,TRUE
1,28,18,,13:33:33,TRUE
1,29,49,,13:35:50,TRUE
1,30,50,,13:42:27,TRUE
1,31,9,,13:43:41,TRUE
1,32,12,,13:47:17,TRUE
1,33,65,,13:51:23,TRUE
1,34,73,,14:07:48,TRUE
1,35,63,,14:08:15,TRUE
1,36,33,,14:09:00,TRUE
1,37,69,,14:09:48,TRUE
1,38,7,,14:25:14,TRUE
1,39,32,,14:31:18,TRUE
